!!SBtab SBtabVersion=’1.0’	TableName=’K. brasiliensis SBTab Compound Table’	TableType=’Compound’
!ID	!Name	!Identifiers:kegg.compound	!Identifiers:bigg.metabolite	!Identifiers:biocyc	!StructureFormula
sbtabcomp668	Tributyrin	C13870	tbtr		C15H26O6
sbtabcomp669	Long-chain fatty acid	C00638	lcfa		C3H5O2R
sbtabcomp670	D-myo-Inositol 1,4,5-trisphosphate	C01245	mi145tp		C6H15O15P3
sbtabcomp671	1-Palmitoylglycerophosphocholine	C04102	pagpc		C24H51NO7P
sbtabcomp672	S-(Hydroxymethyl)glutathione	C14180	Shgth		C11H19N3O7S
sbtabcomp673	(25R)-3alpha,7alpha,12alpha-Trihydroxy-5beta-cholestan-26-oyl-CoA	C15613	S3WElRqp		C48H80N7O20P3S
sbtabcomp674	(25S)-3alpha,7alpha,12alpha-Trihydroxy-5beta-cholestan-26-oyl-CoA	C17343	htGokatN		C48H80N7O20P3S
sbtabcomp675	(25S)-3alpha,7alpha-Dihydroxy-5beta-cholestanoyl-CoA	C17346	1ZBlgX16		C48H80N7O19P3S
sbtabcomp676	(2S)-2-Methylacyl-CoA	C05232	2s2metacoa		C24H39N7O17P3SR
sbtabcomp677	(2R)-2-Methylacyl-CoA	C05329	2r2metacoa		C24H39N7O17P3SR
sbtabcomp678	1-Phosphatidyl-1D-myo-inositol 5-phosphate	C11557	ZTwvEl8g		C11H18O16P2R2
sbtabcomp679	Glycerophosphodiester	C03120	gpdstr		C3H8O6PR
sbtabcomp680	trans-Farnesol	C01126	fnsol		C15H26O
sbtabcomp681	Farnesal	C03461	fnsal		C15H24O
sbtabcomp682	D-Amino acid	C00405	aa__D		C2H4NO2R
sbtabcomp683	Aryl beta-D-glucoside	C03097	abDgsd		C12H16O6
sbtabcomp684	4-Nitrophenyl phosphate	C03360	4dnphp		C6H6NO6P
sbtabcomp685	NMNH	C21113	NMNH		C11H17N2O8P
sbtabcomp686	Iron chelate	C06704	ironC		
sbtabcomp687	Lipid hydroperoxide	C01025	lhp		HO2R
sbtabcomp688	N-Acetyl-D-glucosaminylphosphatidylinositol	C01288	y9i2BnSY		C19H30NO18PR2
sbtabcomp689	Platelet-activating factor	C04598	PAF		C10H22NO7PR
sbtabcomp690	1-Organyl-2-lyso-sn-glycero-3-phosphocholine	C04317	DfDGKBsH		C8H20NO6PR
sbtabcomp691	Nicotine	C00745	nct		C10H14N2
sbtabcomp692	Dimethylaminobenzene	C02846	dmabz		C8H11N
sbtabcomp693	N,N-Dimethylaniline N-oxide	C01183	dmetanl		C8H11NO
sbtabcomp694	Dehydro-D-arabinono-1,4-lactone	C06316	Dharb14l		C5H6O5
sbtabcomp695	N6-Hydroxy-L-lysine	C01028	N6hlys		C6H14N2O3
sbtabcomp696	N6-Acetyl-N6-hydroxy-L-lysine	C03955	N6achlys		C8H16N2O4
sbtabcomp697	5-Hydroxyferulic acid methyl ester	C05619	51hZGG9n		C10H10O5
sbtabcomp698	5-Hydroxyferuloyl-CoA	C12203	DqLIy4my		C31H44N7O20P3S
sbtabcomp699	Sinapate	C00482	sinpt		C11H12O5
sbtabcomp700	Sinapoyl-CoA	C00411	sincoa		C32H46N7O20P3S
sbtabcomp701	8-[(1R,2R)-3-Oxo-2-{(Z)-pent-2-enyl}cyclopentyl]octanoate	C04780	PlaetOdb		C18H30O3
sbtabcomp702	Ethylene glycol	C01380	etlngc		C2H6O2
sbtabcomp703	Long-chain acyl-CoA	C02843	lcacoa		C23H38N7O17P3S(CH2)2n
sbtabcomp704	O-Acylcarnitine	C02301	Oacylcrn		C8H14NO4R
sbtabcomp705	N-Carbamoyl-L-amino acid	C11529	cb__L__aa		C3H5N2O3R
sbtabcomp706	L-Amino acid	C00151	aa__L		C2H4NO2R
sbtabcomp707	1,2-Bis(4-hydroxy-3-methoxyphenyl)ethylene	C04547	FeRIAqCd		C16H16O4
sbtabcomp708	Inositol 1,2,4,5,6-pentakisphosphate	C04563	JdlPbnGh		C6H17O21P5
sbtabcomp709	Hymecromone	C03081	hcmn		C10H8O3
sbtabcomp710	Taxiphyllin	C01855	txpll		C14H17NO7
sbtabcomp711	Icosenoyl-CoA	C16530	kquaXuG2		C41H72N7O17P3S
sbtabcomp712	Lotaustralin	C08334	lttrln		C11H19NO6
sbtabcomp713	Linustatin	C08333	lnttn		C16H27NO11
sbtabcomp714	Linamarin	C01594	lnmrn		C10H17NO6
sbtabcomp715	Acetone cyanohydrin	C02659	acetonech		C4H7NO
sbtabcomp716	Neolinustatin	C08336	neolntt		C17H29NO11
sbtabcomp717	Scopolin	C01527	scpl		C16H18O9
sbtabcomp718	Scopoletin	C01752	scpln		C10H8O4
sbtabcomp719	Oxidized flavodoxin	C02869	fldox		
sbtabcomp720	Reduced flavodoxin	C02745	flxr		
sbtabcomp721	Oxidized ferredoxin	C00139	fdxo_2_2		
sbtabcomp722	4,8,12-Trimethyltridecanoyl-CoA	C07296	tmtdcacoa		C37H66N7O17P3S
sbtabcomp723	3-Oxopristanoyl-CoA	C07297	3xptncoa		C40H70N7O18P3S
sbtabcomp724	1-Acyl-2-oleoyl-sn-glycero-3-phosphocholine	C01282	a2oSNg3pc		C27H52NO8PR
sbtabcomp725	1-Acyl-2-linoleoyl-sn-glycero-3-phosphocholine	C04636	a2lSNg3pc		C27H50NO8PR
sbtabcomp726	4-Hydroxyphenylethanol	C06044	hphetoh		C8H10O2
sbtabcomp727	D-Mannosylglycoprotein	C03268	manglprot		C6H11O6R
sbtabcomp728	Glycoprotein 6-(D-glucose-1-phospho)-D-mannose	C04645	xxxxxxxxx		C12H22O14PR
sbtabcomp729	5-Dehydroepisterol	C15780	dhepis		C28H44O
sbtabcomp730	3-Methoxy-4-hydroxyphenylethyleneglycol	C05594	3mox4hoxpeg		C9H12O4
sbtabcomp731	2-Monoacylglycerol	C02112	2mag		C4H7O4R
sbtabcomp732	3-Indoleglycolaldehyde	C03230	indgcald		C10H9NO2
sbtabcomp733	Deoxyribose	C01801	drib		C5H10O4
sbtabcomp734	Hydroxybenzoquinone	C07103	hbqn		C6H4O3
sbtabcomp735	(+)-7-Isojasmonic acid	C16317	ijsmac		C12H18O3
sbtabcomp736	3-cis-Dodecenoyl-CoA	C02944	cisddcecoa		C33H56N7O17P3S
sbtabcomp737	1-Octanal	C01545	octal		C8H16O
sbtabcomp738	Salicylaldehyde	C06202	salald		C7H6O2
sbtabcomp739	Farnesoic acid	C16502	fnsoicacid		C15H24O2
sbtabcomp740	Fluoroacetaldehyde	C15488	flacald		C2H3FO
sbtabcomp741	3-Aminopropanal	C05665	aproa		C3H7NO
sbtabcomp742	beta-D-Mannoside	C02478	b__D__mand		C6H11O6R
sbtabcomp743	beta-D-Mannose	C02209	b__D__man		C6H12O6
sbtabcomp744	Uracil 5-carboxylate	C03030	ura5c		C5H4N2O4
sbtabcomp745	delta-(L-2-Aminoadipyl)-L-cysteinyl-D-valine	C05556	5lzoU6gl		C14H25N3O6S
sbtabcomp746	4-Chlorocatechol	C02375	clcatechol		C6H5ClO2
sbtabcomp747	4-Methylsalicylate	C14103	4metsalc		C8H8O3
sbtabcomp748	beta-Apo-4'-carotenal	C19892	dDycmLFv		C35H46O
sbtabcomp749	Neurosporaxanthin	C08607	nrpxan		C35H46O2
sbtabcomp750	3,4-Dehydrolycopene	C15867	34dhlpn		C40H54
sbtabcomp751	Linoleic acid	C01595	lnlc		C18H32O2
sbtabcomp752	alpha-Linolenate	C06427	kc8oDK4D		C18H30O2
sbtabcomp753	Guanosine 5'-triphospho-mRNA	C02031	V6HNpMPX		C20H31N5O23P4R(R1)(C5H8O6PR)n
sbtabcomp754	Palmitoyl-[acyl-carrier protein]	C05764	NdsqNuRz		C16H31OSR
sbtabcomp755	Thiamine biosynthesis intermediate 2	C15811	56ddiG72		C4H6N2O2SR2
sbtabcomp756	Protein C-terminal S-farnesyl-L-cysteine methyl ester	C04748	Sb77Urj7		C21H35N2O3SR(C2H2NOR)n
sbtabcomp757	Dextrin	C00721	L4okKQor		(C12H20O10)n
sbtabcomp758	Cutin monomer	C07300	jviCpWEk		
sbtabcomp759	Peptidylproline (omega=180)	C03798	apXvvHh6		C6H8N2O2R2
sbtabcomp760	[enzyme]-lysine	C07281	cMrxVXWd		C7H13N3O2R2
sbtabcomp761	L-Ascorbate	C00072	ascb__L		C6H8O6
sbtabcomp762	Tryparedoxin	C16663	T3aVJlFe		
sbtabcomp763	tRNA containing N7-methylguanine	C04160	RqZJwS96		C11H16N5O8P(C5H8O6PR)n(C5H8O6PR)n
sbtabcomp764	1,3-Diaminopropane	C00986	13dampp		C3H10N2
sbtabcomp765	[eIF5A-precursor]-deoxyhypusine	C07282	XBJfFFSH		C11H22N4O2R2
sbtabcomp766	Acyl-[acyl-carrier protein]	C00173	lwc87oyj		C3H4OSR2
sbtabcomp767	RNA	C00046	FA2ZZ93b		C10H18O13P2R2(C5H8O6PR)n
sbtabcomp768	m7G(5')pppm6Am-mRNA	C04833	EbjcHOJS		C28H42N10O23P4R(C5H8O6PR)n
sbtabcomp769	Galactan	C05796	YhMpHNVV		(C12H20O11)n
sbtabcomp770	Triglyceride	C00422	tag_cho		C6H5O6R3
sbtabcomp771	Electron-transferring flavoprotein	C04253	2F1WhfM5		
sbtabcomp772	Homocitrate	C01251	hcit		C7H10O7
sbtabcomp773	N6-L-Threonylcarbamoyladenine in tRNA	C20751	r1daVMKl		C15H21N6O11P(C5H8O6PR)n(C5H8O6PR)n
sbtabcomp774	R-S-Glutathione	C02320	RSgth		C10H16N3O6SR
sbtabcomp775	2-Polyprenyl-6-methoxyphenol	C17552	tDR7Vatu		C12H16O2(C5H8)n
sbtabcomp776	Ubiquitin	C00496	kTLZh8dw		
sbtabcomp777	Protein tyrosine	C00585	Z2m3lC4t		C10H10N2O3R2
sbtabcomp778	Hydrogen-donor	C00030	7a3syC3k		
sbtabcomp779	Histone N6-acetyl-L-lysine	C01997	dH9FYrL4		C9H15N3O3R2
sbtabcomp780	m7GpppX	C04696	m7GpppX		C11H18N5O11P2(C5H8O6PR)n
sbtabcomp781	Hexadecenal	C06123	hxdceal		C16H30O
sbtabcomp782	(6S)-6beta-Hydroxy-1,4,5,6-tetrahydronicotinamide-adenine dinucleotide	C04856	HEAPitMH		C21H31N7O15P2
sbtabcomp783	(1R)-Glutathionyl-(2R)-hydroxy-1,2-dihydronaphthalene	C14793	dhGeK2sn		C20H25N3O7S
sbtabcomp784	trans-2,3-Dehydroacyl-[acyl-carrier protein]	C00693	Sug1qIXA		C3H2OSR2
sbtabcomp785	NDP	C00454	NDP		C5H11O10P2R
sbtabcomp786	Thymine dimer	C17509	tthym		C20H28N4O15P2(C5H8O5PR)n(C5H8O5PR)n
sbtabcomp787	Molybdopterin	C05924	mpt		C10H14N5O6PS2
sbtabcomp788	3beta-Hydroxy-4beta-methyl-5alpha-cholest-7-ene-4alpha-carbaldehyde	C11509	X2rJ4h5o		C29H48O2
sbtabcomp789	2-Polyprenyl-3-methyl-6-methoxy-1,4-benzoquinone	C17561	Xoi8KCIC		C13H16O3(C5H8)n
sbtabcomp790	tRNA adenine	C17324	3cBDzHEt		C10H14N5O7P(C5H8O6PR)n(C5H8O6PR)n
sbtabcomp791	N-Acylsphingosine	C00195	crm_cho		C19H36NO3R
sbtabcomp792	3-Keto-beta-D-galactose	C05394	ySH9jaeI		C6H10O6
sbtabcomp793	Protein N6-(lipoyl)lysine	C16237	Xv1si9sw		C8H14NOS2R
sbtabcomp794	2-Methoxy-6-all-trans-polyprenyl-1,4-benzoquinol	C19858	XYqo7cpZ		C12H16O3(C5H8)n
sbtabcomp795	S-Succinyldihydrolipoamide-E	C16254	sdhlame		C12H20NO4S2R
sbtabcomp796	Histone-L-lysine	C02415	hisLlys		C7H13N3O2R2
sbtabcomp797	Lipoamide-E	C15972	lpamE		C8H14NOS2R
sbtabcomp798	delta-N-Hydroxyornithine	C20850	dNhorn		C5H12N2O3
sbtabcomp799	Trypanothione	C02090	trpthn		C27H49N9O10S2
sbtabcomp800	Peptide-L-methionine	C03023	GFGdCQyk		C6H10N2O2SR2
sbtabcomp801	Adenine in rRNA	C20648	nMimQwCx		C10H14N5O7P(C5H8O6PR)n(C5H8O6PR)n
sbtabcomp802	Enzyme N6-(dihydrolipoyl)lysine	C15973	PQSprhyc		C8H16NOS2R
sbtabcomp803	Amide	C00241	yXqW26xt		CH2NOR
sbtabcomp804	4,4-Dimethyl-5alpha-cholesta-8,14,24-trien-3beta-ol	C11455	uV8qqXXg		C29H46O
sbtabcomp805	Carboxylate	C00060	LF1ZXC3e		CO2R
sbtabcomp806	2-Lysolecithin	C04230	JHpJyAWc		C9H20NO7PR
sbtabcomp807	N-(4-Aminobutylidene)-[eIF5A-precursor]-lysine	C15854	J3L4UzGT		C11H20N4O2R2
sbtabcomp808	beta-Zeacarotene	C05434	wKzxEcKy		C40H58
sbtabcomp809	Oxalosuccinate	C05379	oxlsucc		C6H6O7
sbtabcomp810	(1S,2R)-Naphthalene 1,2-oxide	C14787	y2YLtNZm		C10H8O
sbtabcomp811	14-Demethyllanosterol	C05108	IAFGWRsZ		C29H48O
sbtabcomp812	m7G(5')pppR-mRNA	C02339	m7G5pppR__mRNA		C21H34N5O23P4R(R1)(C5H8O6PR)n
sbtabcomp813	Peptide diphthamide	C02872	dtbddVNl		C14H23N6O3R2
sbtabcomp814	L-Arginyl-protein	C16739	protarg		C8H16N5O3R(C2H2NOR)n
sbtabcomp815	Galactosylceramide	C02686	galside_cho		C25H46NO8R
sbtabcomp816	Lactosylceramide	C01290	lside_cho		C31H56NO13R
sbtabcomp817	6-Methoxy-3-methyl-2-all-trans-polyprenyl-1,4-benzoquinol	C19859	AKfKLEbK		C13H18O3(C5H8)n
sbtabcomp818	Aldehyde	C00071	cDI88QmN		CHOR
sbtabcomp819	Phospho-[DNA-directed RNA polymerase]	C04395	JhF5TBSo		
sbtabcomp820	R'C(R)SH	C01525	XmHPtpUT		CH2SR2
sbtabcomp821	Protein L-serine	C02189	protser__L		C4H6N2O3R2
sbtabcomp822	[Pyruvate dehydrogenase (acetyl-transferring)] phosphate	C01293	NPLiU6iE		C4H7N2O6PR2
sbtabcomp823	S-Acetyldihydrolipoamide-E	C16255	dCRfr4he		C10H18NO2S2R
sbtabcomp824	1-Nitro-5-glutathionyl-6-hydroxy-5,6-dihydronaphthalene	C14806	Mo3ePW8R		C20H24N4O9S
sbtabcomp825	alpha-Aminoadipoyl-S-acyl enzyme	C05535	niarWoBt		C6H10NO3SR
sbtabcomp826	Sulfur donor	C17023	2riYEDag		
sbtabcomp827	[Lipoyl-carrier protein]-L-lysine	C16240	k7xiG5OD		NH2R
sbtabcomp828	Propionyladenylate	C05983	2X9YEeKl		C13H18N5O8P
sbtabcomp829	Trypanothione disulfide	C03170	3JsKeALv		C27H47N9O10S2
sbtabcomp830	Tryparedoxin disulfide	C16664	RCt8Zqjl		
sbtabcomp831	Phosphatidylserine	C02737	ps_cho		C8H12NO10PR2
sbtabcomp832	tau-Protein	C01867	FcflDsR6		
sbtabcomp833	Protein N6-(octanoyl)lysine	C16236	766iJKh2		C8H16NOR
sbtabcomp834	2-Polyprenyl-3-methyl-5-hydroxy-6-methoxy-1,4-benzoquinone	C17562	AHh1HFfO		C13H16O4(C5H8)n
sbtabcomp835	Peptidylproline (omega=0)	C03633	ptdpro		C6H8N2O2R2
sbtabcomp836	THF-polyglutamate	C03541	THFpglu		C24H30N8O9(C5H7NO3)n-2
sbtabcomp837	Hydrogen-acceptor	C00028	JQYonyTU		
sbtabcomp838	Protein L-asparagine	C03021	8E3mhPuM		C5H7N3O3R2
sbtabcomp839	3-Lysolecithin	C04233	3llcth		C9H20NO7PR
sbtabcomp840	Polyisopentenylpyrophosphate	C05847	piptpp		C5H12O7P2(C5H8)n
sbtabcomp841	L-2-Aminoadipate adenylate	C05560	mXoATOLh		C16H23N6O10P
sbtabcomp842	2,3-Dihydroxy-3-methylbutanoate	C04039	nfATgSxw		C5H10O4
sbtabcomp843	N6-Dimethyladenine in rRNA	C20796	8FyR8ieX		C12H18N5O7P(C5H8O6PR)n(C5H8O6PR)n
sbtabcomp844	Phosphatidylcholine	C00157	pchol_cho		C10H18NO8PR2
sbtabcomp845	Ubiquinone	C00399	q		C14H18O4(C5H8)n
sbtabcomp846	Quinone	C15602	qnn		
sbtabcomp847	Lipoyl-ACP	C16239	lipoacp		C8H13OS3R
sbtabcomp848	(3R)-3-Hydroxyacyl-CoA	C01086	eceCvJlb		C24H39N7O18P3SR
sbtabcomp849	[eIF5A-precursor]-hypusine	C04679	dUuFHEpl		C11H22N4O3R2
sbtabcomp850	tRNA	C00066	trna		C10H17O10PR2(C5H8O6PR)n
sbtabcomp851	1-Nitro-7-hydroxy-8-glutathionyl-7,8-dihydronaphthalene	C14803	YSuRq62N		C20H24N4O9S
sbtabcomp852	m7G(5')pppAm-mRNA	C01972	kWPaF5aS		C27H40N10O23P4R(C5H8O6PR)n
sbtabcomp853	tRNA hypoxanthine	C20451	kVMydVsx		C10H13N4O8P(C5H8O6PR)n(C5H8O6PR)n
sbtabcomp854	2,5-Diaminopyrimidine nucleoside triphosphate	C05923	ScYx9yYk		C9H18N5O14P3
sbtabcomp855	Two thymine residues (in DNA)	C17510	JiK4HyaS		C20H28N4O15P2(C5H8O5PR)n(C5H8O5PR)n
sbtabcomp856	Dehydrospermidine	C15853	dhpmd		C7H17N3
sbtabcomp857	R-S-Cysteinylglycine	C05729	hl3zhmZU		C5H9N2O3SR
sbtabcomp858	Glutaconyl-CoA	C02411	gcoa		C26H40N7O19P3S
sbtabcomp859	2-Hexaprenyl-3-methyl-6-methoxy-1,4-benzoquinone	C05804	rO4y4wMB		C38H56O3
sbtabcomp860	(R)-NADPH-hydrate	C20483	s7Rmn62h		C21H32N7O18P3
sbtabcomp861	Electron	C05359	e		
sbtabcomp862	Sterol	C00370	8CJZpKaB		C17H28O
sbtabcomp863	Dolichyl phosphate D-mannose	C03862	upXs1XRu		C26H47O9P(C5H8)n
sbtabcomp864	GA1	C06136	GA1		C45H79N2O23R
sbtabcomp865	Pectate	C00470	pectt		C12H18O13(C6H8O6)n-2
sbtabcomp866	Monoacylglycerol	C01885	mag_cho		C4H7O4R
sbtabcomp867	1-Nitronaphthalene-7,8-oxide	C14802	c1JEGsWv		C10H7NO3
sbtabcomp868	L-Threonylcarbamoyladenylate	C20641	ZrJRcKSu		C15H21N6O11P
sbtabcomp869	[DNA-directed RNA polymerase]	C03959	QaOMwWaX		
sbtabcomp870	Sulfuric monoester	C16738	1fAZo4qC		HSO4R
sbtabcomp871	(5')ppPur-mRNA	C02100	2bLhvDIM		C10H19O16P3R(R1)(C5H8O6PR)n
sbtabcomp872	alpha-Amino acid	C05167	UoRSA7Fb		C2H4NO2R
sbtabcomp873	3-Oxoacyl-[acyl-carrier protein]	C00685	e3MWwGWl		C3H2O2SR2
sbtabcomp874	Hydroperoxide	C15498	6KLgXocR		HO2R
sbtabcomp875	Phosphatidyl-N-methylethanolamine	C01241	Oj4teM8s		C8H14NO8PR2
sbtabcomp876	Protein N-ubiquityllysine	C03635	cnmTkaoM		
sbtabcomp877	NTP	C00201	NTP		C5H12O13P3R
sbtabcomp878	GM2	C04884	GM2		C50H86N3O26R
sbtabcomp879	Succinate semialdehyde-thiamin diphosphate	C05381	ssaltpp		C16H25N4O10P2S
sbtabcomp880	tRNA pseudouridine	C02764	FU9bbIcz		C9H13N2O9P(C5H8O6PR)n(C5H8O6PR)n
sbtabcomp881	DNA 5'-phosphate	C02128	dna5p		C10H18O11P2R2(C5H8O5PR)n
sbtabcomp882	Phytoene	C05421	phytoe		C40H64
sbtabcomp883	alpha,beta-Dihydroxyethyl-TPP	C13378	7ruzGSgk		C14H23N4O9P2S
sbtabcomp884	Globotriosylceramide	C04737	mFRvdJHC		C37H66NO18R
sbtabcomp885	tRNA(Sec)	C16636	gc6F8jMS		
sbtabcomp886	Sterol 3-beta-D-glucoside	C03641	68R5sjeT		C23H38O6
sbtabcomp887	R'C(R)S-S(R)CR'	C02318	ajne8pAs		C2H2S2R4
sbtabcomp888	Precorrin 1	C15527	HSpPq7mS		C41H46N4O16
sbtabcomp889	Fatty acid	C00162	fa		CHO2R
sbtabcomp890	Amylose	C00718	amylose		(C6H10O5)n
sbtabcomp891	Dehydroacyl-CoA	C00605	dhacoa		C24H37N7O17P3SR
sbtabcomp892	1,3-beta-D-Glucan	C00965	13BDglcn		(C6H10O5)n
sbtabcomp893	Carboxyphosphate	C20969	cp		CH3O6P
sbtabcomp894	Cutin	C07299	cutin		
sbtabcomp895	1-Nitronaphthalene-5,6-oxide	C14800	ZmdeAKo1		C10H7NO3
sbtabcomp896	Molybdoenzyme molybdenum cofactor	C18237	LlJuy3EC		C10H12MoN5O8PS2
sbtabcomp897	[Pyruvate dehydrogenase (acetyl-transferring)]	C01256	AqNzkw4o		C4H6N2O3R2
sbtabcomp898	Dihydroceramide	C12126	iglplVkl		C19H38NO3R
sbtabcomp899	Cyclobutadipyrimidine	C03103	RFuGkxt4		
sbtabcomp900	1-Nitro-7-glutathionyl-8-hydroxy-7,8-dihydronaphthalene	C14804	XJgrNKax		C20H24N4O9S
sbtabcomp901	N-Acetyl-D-glucosaminyldiphosphodolichol	C04500	DFD3JF3a		C28H51NO12P2(C5H8)n
sbtabcomp902	Protein C-terminal S-farnesyl-L-cysteine	C04506	EzWrG5Gp		C20H33N2O3SR(C2H2NOR)n
sbtabcomp903	7,8-Dihydro-beta-carotene	C16291	jsypfrIK		C40H58
sbtabcomp904	Cellulose	C00760	cell		(C6H10O5)n
sbtabcomp905	S-Palmitoylprotein	C17202	G7umKWR7		C20H36N2O3SR2
sbtabcomp906	beta-D-Glucosyl-(1<->1)-ceramide	C01190	XRXGf2r2		C25H46NO8R
sbtabcomp907	Phosphatidate	C00416	D5N1PXbo		C5H7O8PR2
sbtabcomp908	2-Acetolactate	C00900	u2pWbqu2		C5H8O4
sbtabcomp909	3beta-Hydroxy-4beta-methyl-5alpha-cholest-7-ene-4alpha-carboxylate	C04840	9WxnOs7P		C29H48O3
sbtabcomp910	Peptide 2-[3-carboxy-3-(dimethylammonio)propyl]-L-histidine	C16720	1M5686ur		C13H19N5O4R2
sbtabcomp911	Phosphatidylethanolamine	C00350	pe_cho		C7H12NO8PR2
sbtabcomp912	2-Oxocarboxylate	C00161	GfWBDWDU		C2HO3R
sbtabcomp913	tRNA containing 6-isopentenyladenosine	C04432	pkCuAwNL		C15H22N5O7P(C5H8O6PR)n(C5H8O6PR)n
sbtabcomp914	Solanesyl pyrophosphate	C04145	CAxUHBti		C45H76O7P2
sbtabcomp915	1,4-beta-D-Xylan	C02352	14bxyl		(C5H8O4)n
sbtabcomp916	2,3-Ene acid	C11823	FvjpATIa		C3H3O2R
sbtabcomp917	Peptide-L-methionine (S)-S-oxide	C03895	OrYgLPqX		C6H10N2O3SR2
sbtabcomp918	Histone-N(omega)-methylarginine	C05320	94cm6GKu		C8H15N5O2R2
sbtabcomp919	Oligonucleotide 5'-diphosphate	C16669	cUBlmMkw		C5H11O10P2R(C5H8O6PR)n-1
sbtabcomp920	(S)-NADPH-hydrate	C04899	ICNHtYBk		C21H32N7O18P3
sbtabcomp921	Protein L-isoaspartate methyl ester	C04311	D1rCosZC		C6H8N2O4R2
sbtabcomp922	Reduced electron-transferring flavoprotein	C04570	DxqnVYIy		
sbtabcomp923	4,4-Dimethylcholest-7-ene-3-ol	C04530	wBNy5x1W		C29H50O
sbtabcomp924	Phosphatidylinositol 4-phosphate	C01277	QIdcVAW7		C11H18O16P2R2
sbtabcomp925	Arabinan	C02474	arabinan		(C15H24O12)n
sbtabcomp926	beta-D-Fructose 2,6-bisphosphate	C00665	UdRzYKnr		C6H14O12P2
sbtabcomp927	Protein	C00017	yUUk9uEc		C2H4NO2R(C2H2NOR)n
sbtabcomp928	Formamidopyrimidine nucleoside triphosphate	C05922	hZmZ2oeO		C10H18N5O15P3
sbtabcomp929	4beta-Hydroxymethyl-4alpha-methyl-5alpha-cholest-7-en-3beta-ol	C04814	pmtBE3E1		C29H50O2
sbtabcomp930	trans-2-Enoyl-CoA	C00658	ZjYI7xHK		C24H37N7O17P3SR
sbtabcomp931	Peptide-L-methionine (R)-S-oxide	C15653	VS2orAUZ		C6H10N2O3SR2
sbtabcomp932	tRNA guanine	C01977	D99xwcSP		C10H14N5O8P(C5H8O6PR)n(C5H8O6PR)n
sbtabcomp933	Pyrimidine 5'-deoxynucleotide	C08249	Oq9MaNYn		C9H14N2O6P
sbtabcomp934	Glycogen	C00369	glycogen		(C12H20O10)n
sbtabcomp935	Acetyl adenylate	C05993	HC01672		C12H16N5O8P
sbtabcomp936	2-Hexaprenyl-6-methoxy-1,4-benzoquinone	C05803	IGzkzwEk		C37H54O3
sbtabcomp937	3-Ketolactose	C05403	HC01446		C12H20O11
sbtabcomp938	GM1	C04911	GM1		C56H96N3O31R
sbtabcomp939	Chitobiosyldiphosphodolichol	C04537	chito		C36H64N2O17P2(C5H8)n
sbtabcomp940	beta-D-Glucose	C00221	glc__bD		C6H12O6
sbtabcomp941	Protein tyrosine phosphate	C01167	ptp		C10H11N2O6PR2
sbtabcomp942	1-Phosphatidyl-1D-myo-inositol 3-phosphate	C04549	JD2Q4Xi8		C11H18O16P2R2
sbtabcomp943	Ubiquinol	C00390	qh2		C14H20O4(C5H8)n
sbtabcomp944	O-Phospho-tau-protein	C03157	7xd6HkjC		
sbtabcomp945	O-D-Mannosylprotein	C02863	Rr2Q5axL		C10H16N2O8R2
sbtabcomp946	(1S)-Hydroxy-(2S)-glutathionyl-1,2-dihydronaphthalene	C14792	fu76O8AL		C20H25N3O7S
sbtabcomp947	4-Hydroxy-3-polyprenylbenzoate	C05848	QFo5Dyxg		C12H14O3(C5H8)n
sbtabcomp948	Monocarboxylic acid amide	C03620	w4j8n1xf		CH2NOR
sbtabcomp949	N-Substituted aminoacyl-tRNA	C03880	awobsEOh		C13H18NO12PR4(C5H8O6PR)n
sbtabcomp950	[Enzyme]-S-sulfanylcysteine	C15812	1AK8Ro4p		C4H6N2O2S2R2
sbtabcomp951	Diglyceride	C00165	dag_cho		C5H6O5R2
sbtabcomp952	Protein L-cysteine	C02743	pcys		C4H6N2O2SR2
sbtabcomp953	Oxidized thiol-containing reductant	C15496	OfEmeXnM		S2R2
sbtabcomp954	Deoxynucleoside triphosphate	C00677	W2xmfZ1f		C5H12O12P3R
sbtabcomp955	2,5-Diamino-6-(5'-triphosphoryl-3',4'-trihydroxy-2'-oxopentyl)-amino-4-oxopyrimidine	C06148	ajdrLGcp		C9H18N5O14P3
sbtabcomp956	Semiquinone	C05309	sqn		
sbtabcomp957	Protein L-isoaspartate	C03306	3VXUo49Y		C5H6N2O4R2
sbtabcomp958	CDP-diacylglycerol	C00269	lVzR6flA		C14H19N3O15P2R2
sbtabcomp959	3-Polyprenylcatechol	C17551	BNgo8oFR		C11H14O2(C5H8)n
sbtabcomp960	1-Phosphatidyl-D-myo-inositol	C01194	68R7NHQQ		C11H17O13PR2
sbtabcomp961	(R)-NADH-hydrate	C20482	Ex3yt95N		C21H31N7O15P2
sbtabcomp962	Peptide diphthine	C01573	e2ykfabN		C14H21N5O4R2
sbtabcomp963	Pseudouridine 5'-phosphate	C01168	psd5p		C9H13N2O9P
sbtabcomp964	alpha-D-Galactose	C00984	aDgal		C6H12O6
sbtabcomp965	N7-Methyl-GMP	C03998	N7metGMP		C11H17N5O8P
sbtabcomp966	3-Nonaprenyl-4-hydroxybenzoate	C03885	y2fIrSCM		C52H78O3
sbtabcomp967	N-Substituted amino acid	C03523	ZRK4U9fm		C3H3NO3R2
sbtabcomp968	Lysophospholipid	C06254	8yInHVeB		C4H7O7PR2
